text,category,alias,verdict,gain,heard_without_dict,heard_with_dict,sentence,judge_reason,stored_verdict,stt_model
endotoxemia,clinical,en-doh-tok-SEE-mee-ah,HURTS,-0.057,The patient was diagnosed with endotoxemia.,The patient was diagnosed with endotoc ecemia.,The patient was diagnosed with endotoxemia.,"Without dictionary the term was correctly rendered as ""endotoxemia,"" while with dictionary it became garbled ""endotoc ecemia.""",WASH,distil-whisper/distil-large-v2
erythema,clinical,er-ih-THEE-mah,WASH,0.0,The patient was diagnosed with erythema.,The patient was diagnosed with erythema.,The patient was diagnosed with erythema.,"Both transcripts are identical and correctly render ""erythema,"" so the dictionary made no difference.",HURTS,distil-whisper/distil-large-v2
urticaria,clinical,ur-tih-KAR-ee-ah,HURTS,-0.091,The patient was diagnosed with urticaria.,The patient was diagnosed with Urta K-Aria.,The patient was diagnosed with urticaria.,"Without dictionary, ""urticaria"" was correctly transcribed; with dictionary, it was garbled into ""Urta K-Aria.""",HURTS,distil-whisper/distil-large-v2
pruritus,clinical,proo-RY-tus,HELPS,0.079,The patient was diagnosed with Pyrrhus.,The patient was diagnosed with pruritis.,The patient was diagnosed with pruritus.,"The without-dictionary transcript misheard ""pruritus"" as ""Pyrrhus,"" while the with-dictionary transcript recovered the correct term as ""pruritis"" (a minor spelling variant of the target).",HELPS,distil-whisper/distil-large-v2
eczema,clinical,EK-zeh-mah,WASH,-0.091,The patient was diagnosed with eczema.,The patient was diagnosed with EKZama.,The patient was diagnosed with eczema.,"Both transcripts convey the term reasonably; ""EKZama"" is a phonetic respelling that doesn't clearly improve on ""eczema"" and the similarity score is slightly negative.",WASH,distil-whisper/distil-large-v2
psoriasis,clinical,soh-RY-ah-sis,WASH,0.0,The patient was diagnosed with psoriasis.,The patient was diagnosed with psoriasis.,The patient was diagnosed with psoriasis.,"Both transcripts already correctly produced ""psoriasis"" with no difference.",HURTS,distil-whisper/distil-large-v2
lichenification,clinical,ly-ken-ih-fih-KAY-shun,HURTS,-0.281,The patient was diagnosed with lichenification.,The patient was diagnosed with Ly-Kenna Faye Khaishan.,The patient was diagnosed with lichenification.,"The without-dictionary transcript already correctly rendered ""lichenification,"" while the with-dictionary transcript produced a garbled, fragmented mispronunciation.",HURTS,distil-whisper/distil-large-v2
excoriation,clinical,eks-kor-ee-AY-shun,HURTS,-0.17,The patient was diagnosed with excoriation.,The patient was diagnosed with X-Corry-A-I-Shun.,The patient was diagnosed with excoriation.,"The without-dictionary transcript correctly rendered ""excoriation,"" while the with-dictionary transcript produced a garbled letter-spelling ""X-Corry-A-I-Shun.""",HURTS,distil-whisper/distil-large-v2
vesicle,clinical,VES-ih-kul,HURTS,-0.138,The patient was diagnosed with vesicle.,The patient was diagnosed with V.S. call.,The patient was diagnosed with vesicle.,"The without-dictionary transcript already correctly rendered ""vesicle,"" while the with-dictionary transcript mangled it into ""V.S. call.""",WASH,distil-whisper/distil-large-v2
bulla,clinical,BULL-ah,WASH,-0.013,The patient was diagnosed with Bula.,The patient was diagnosed with ball-ah.,The patient was diagnosed with bulla.,"Both transcripts fail to clearly produce ""bulla"" — ""Bula"" is a reasonable spelling of the target pronunciation, while ""ball-ah"" is a fragmented/incorrect rendering; neither clearly recovers the term better than the other.",HELPS,distil-whisper/distil-large-v2
pustule,clinical,PUS-chool,HURTS,-0.069,The patient was diagnosed with pustule.,The patient was diagnosed with P.U.S. Chule.,The patient was diagnosed with pustule.,"The without-dictionary transcript already correctly rendered ""pustule,"" while the with-dictionary transcript garbled it into ""P.U.S. Chule.""",WASH,distil-whisper/distil-large-v2
macule,clinical,MAK-yool,WASH,-0.06,The patient was diagnosed with Macule.,The patient was diagnosed with M.A. Kule.,The patient was diagnosed with macule.,"Both transcripts fail to clearly render ""macule"" correctly; the dictionary version (""M.A. Kule"") is arguably worse due to the awkward letter-by-letter spelling, while the without-dictionary version at least produced ""Macule"" which is closer to the target.",WASH,distil-whisper/distil-large-v2
papule,clinical,PAP-yool,WASH,0.0,The patient was diagnosed with Papule.,The patient was diagnosed with papule.,The patient was diagnosed with papule.,"Both transcripts contain the correct term ""papule""; the only difference is capitalization, which is not a pronunciation issue.",HELPS,distil-whisper/distil-large-v2
nodule,clinical,NOD-yool,WASH,-0.051,The patient was diagnosed with nodule.,The patient was diagnosed with NOD Uel.,The patient was diagnosed with nodule.,"Both transcripts fail to clearly render ""nodule"" correctly; the dictionary version actually fragments it into ""NOD Uel"" which is worse, but neither is a clear recovery.",WASH,distil-whisper/distil-large-v2
plaque,clinical,PLAK,WASH,-0.045,The patient was diagnosed with plaque.,The patient was diagnosed with plague.,The patient was diagnosed with plaque.,"Both transcripts are essentially equivalent in clarity; the dictionary changed ""plaque"" to ""plague"" which is a different word, not an improvement toward the target.",WASH,distil-whisper/distil-large-v2
scale,clinical,SKAYL,WASH,-0.048,The patient was diagnosed with scale.,The patient was diagnosed with SCAEL.,The patient was diagnosed with scale.,"Both transcripts fail to render ""scale"" correctly; the dictionary version produced ""SCAEL"" which is worse, but neither recovered the target term.",WASH,distil-whisper/distil-large-v2
crust,clinical,KRUST,WASH,0.0,The patient was diagnosed with crust.,The patient was diagnosed with crust.,The patient was diagnosed with crust.,"Both transcripts are identical and correctly contain the target term ""crust.""",WASH,distil-whisper/distil-large-v2
erosion,clinical,ee-ROH-zhun,HURTS,-0.069,The patient was diagnosed with erosion.,The patient was diagnosed with E.R. O. Chun.,The patient was diagnosed with erosion.,"The without-dictionary transcript already produced the correct term ""erosion,"" while the with-dictionary transcript garbled it into ""E.R. O. Chun.""",WASH,distil-whisper/distil-large-v2
ulcer,clinical,UL-ser,WASH,-0.143,The patient was diagnosed with ulcer.,The patient was diagnosed with U.L.S.,The patient was diagnosed with ulcer.,"Both transcripts fail to clearly render ""ulcer"" naturally; the dictionary version produces a fragmented ""U.L.S."" which is worse, but neither is a clear recovery of the target term.",WASH,distil-whisper/distil-large-v2
fissure,clinical,FISH-ur,HURTS,-0.127,The patient was diagnosed with fissure.,The patient was diagnosed with Fisher.,The patient was diagnosed with fissure.,"The ""without dictionary"" transcript correctly captured ""fissure,"" while the ""with dictionary"" transcript mispronounced it as ""Fisher.""",HELPS,distil-whisper/distil-large-v2
atrophy,clinical,AT-roh-fee,HURTS,-0.138,The patient was diagnosed with atrophy.,The patient was diagnosed with AT-RO-Fee.,The patient was diagnosed with atrophy.,"The without-dictionary transcript correctly produced ""atrophy,"" while the with-dictionary transcript mangled it into ""AT-RO-Fee.""",WASH,distil-whisper/distil-large-v2
sclerosis,clinical,skleh-ROH-sis,HURTS,-0.101,The patient was diagnosed with sclerosis.,The patient was diagnosed with Sclai-ROH-Cis.,The patient was diagnosed with sclerosis.,"The without-dictionary transcript already correctly rendered ""sclerosis,"" while the with-dictionary version produced a garbled, fragmented pronunciation (""Sclai-ROH-Cis"").",HURTS,distil-whisper/distil-large-v2
appendectomy,clinical,ap-en-DEK-toh-mee,WASH,-0.071,The patient was diagnosed with appendectomy.,The patient was diagnosed with apondiectomy.,The patient was diagnosed with appendectomy.,"Both transcripts are wrong; the dictionary version ""apondiectomy"" is no closer to ""appendectomy"" than the without-dictionary version, and neither recovers the correct term.",WASH,distil-whisper/distil-large-v2
cholecystectomy,clinical,koh-leh-sis-TEK-toh-mee,WASH,0.091,The patient was diagnosed with colisistectomy.,The patient was diagnosed with cole cystectomy.,The patient was diagnosed with cholecystectomy.,"Both transcripts are garbled and neither clearly recovers ""cholecystectomy""; the dictionary version is marginally closer but still wrong.",HURTS,distil-whisper/distil-large-v2
herniorrhaphy,clinical,her-nee-OR-ah-fee,WASH,-0.023,The patient was diagnosed with hernia-raffi.,The patient was diagnosed with her knee-o-r-a-fee.,The patient was diagnosed with herniorrhaphy.,"Both transcripts fail to recover the correct term ""herniorrhaphy""; the dictionary version is arguably worse with the fragmented ""her knee-o-r-a-fee"" spelling out the letters rather than producing a coherent pronunciation.",HURTS,distil-whisper/distil-large-v2
colostomy,clinical,koh-LOS-toh-mee,WASH,-0.02,The patient was diagnosed with colostomy.,The patient was diagnosed with Coloss Tomey.,The patient was diagnosed with colostomy.,"Both transcripts fail to clearly produce ""colostomy"" — the without-dictionary version has the correct term, while the with-dictionary version is garbled (""Coloss Tomey""), so the dictionary hurt rather than helped, but neither is a clear win.",HURTS,distil-whisper/distil-large-v2
ileostomy,clinical,il-ee-OS-toh-mee,HURTS,-0.029,The patient was diagnosed with iliostomy.,The patient was diagnosed with Ili-O.S. Tomey.,The patient was diagnosed with ileostomy.,"The ""without dictionary"" transcript ""iliostomy"" is a close phonetic match to ""ileostomy,"" while the ""with dictionary"" transcript fragments into nonsense ""Ili-O.S. Tomey.""",HURTS,distil-whisper/distil-large-v2
nephrectomy,clinical,neh-FREK-toh-mee,WASH,0.0,The patient was diagnosed with nephrectomy.,The patient was diagnosed with nephrectomy.,The patient was diagnosed with nephrectomy.,"Both transcripts are identical and the term ""nephrectomy"" is correctly rendered in both, so the dictionary made no difference.",WASH,distil-whisper/distil-large-v2
hysterectomy,clinical,his-teh-REK-toh-mee,HURTS,-0.062,The patient was diagnosed with hysterectomy.,The patient was diagnosed with his tear rectomy.,The patient was diagnosed with hysterectomy.,"The without-dictionary transcript correctly rendered ""hysterectomy,"" while the with-dictionary transcript mangled it into ""his tear rectomy.""",HURTS,distil-whisper/distil-large-v2
mastectomy,clinical,mas-TEK-toh-mee,WASH,-0.051,The patient was diagnosed with mastectomy.,The patient was diagnosed with moss-tectomy.,The patient was diagnosed with mastectomy.,"Both transcripts fail to render the term correctly in context (""diagnosed with mastectomy"" is nonsensical either way), and the dictionary version ""moss-tectomy"" is not a clear improvement.",HELPS,distil-whisper/distil-large-v2
thyroidectomy,clinical,thy-roy-DEK-toh-mee,WASH,-0.015,The patient was diagnosed with thyroidectomy.,The patient was diagnosed with thyroid dectomy.,The patient was diagnosed with thyroidectomy.,"Both transcripts fail to correctly render ""thyroidectomy""; the dictionary version (""thyroid dectomy"") is arguably worse due to the awkward split, but neither recovers the target term.",WASH,distil-whisper/distil-large-v2
parathyroidectomy,clinical,par-ah-thy-roy-DEK-toh-mee,WASH,-0.015,The patient was diagnosed with parathyroidectomy.,The patient was diagnosed with parathyroid dectomy.,The patient was diagnosed with parathyroidectomy.,"Both transcripts are garbled attempts at the target term, with the dictionary version (""parathyroid dectomy"") being slightly worse than the without-dictionary version (""parathyroidectomy""), but neither is meaningfully correct.",HURTS,distil-whisper/distil-large-v2
adrenalectomy,clinical,ad-reh-nal-EK-toh-mee,HURTS,-0.115,The patient was diagnosed with adrenalectomy.,The patient was diagnosed with Adranal EK-Tomi.,The patient was diagnosed with adrenalectomy.,"The without-dictionary transcript already correctly rendered ""adrenalectomy,"" while the with-dictionary transcript garbled it into ""Adranal EK-Tomi.""",WASH,distil-whisper/distil-large-v2
splenectomy,clinical,spleh-NEK-toh-mee,WASH,-0.044,The patient was diagnosed with splenectomy.,The patient was diagnosed with spla nectomy.,The patient was diagnosed with splenectomy.,"Both transcripts fail to clearly render ""splenectomy"" correctly; the dictionary version actually fragments it (""spla nectomy""), so no meaningful improvement.",WASH,distil-whisper/distil-large-v2
pancreatectomy,clinical,pan-kree-ah-TEK-toh-mee,WASH,0.0,The patient was diagnosed with pancreatectomy.,The patient was diagnosed with pancreatectomy.,The patient was diagnosed with pancreatectomy.,"Both transcripts already contain the correct term ""pancreatectomy"" with no difference.",WASH,distil-whisper/distil-large-v2
esophagectomy,clinical,eh-sof-ah-JEK-toh-mee,WASH,0.0,The patient was diagnosed with esophagectomy.,The patient was diagnosed with asophagectomy.,The patient was diagnosed with esophagectomy.,"Both transcripts are essentially equivalent mispronunciations of the term; the dictionary version ""asophagectomy"" is no closer to the target than ""esophagectomy"" in context.",HURTS,distil-whisper/distil-large-v2
gastrectomy,clinical,gas-TREK-toh-mee,WASH,-0.05,The patient was diagnosed with gastrectomy.,The patient was diagnosed with gas tractomey.,The patient was diagnosed with gastrectomy.,"Both transcripts fail to render ""gastrectomy"" correctly; the dictionary version (""gas tractomey"") is arguably worse/more garbled than the original mishearing, but neither recovers the target term.",HELPS,distil-whisper/distil-large-v2
colectomy,clinical,koh-LEK-toh-mee,WASH,0.0,The patient was diagnosed with colectomy.,The patient was diagnosed with colectomy.,The patient was diagnosed with colectomy.,"Both transcripts are identical and correctly render ""colectomy,"" so the dictionary made no difference.",WASH,distil-whisper/distil-large-v2
proctectomy,clinical,prok-TEK-toh-mee,WASH,0.0,The patient was diagnosed with proctectomy.,The patient was diagnosed with proctectomy.,The patient was diagnosed with proctectomy.,"Both transcripts are identical and correctly render the term ""proctectomy,"" so the dictionary made no difference.",WASH,distil-whisper/distil-large-v2
cystectomy,clinical,sis-TEK-toh-mee,WASH,0.0,The patient was diagnosed with cystectomy.,The patient was diagnosed with cystectomy.,The patient was diagnosed with cystectomy.,"Both transcripts are identical and contain the target term correctly, so the dictionary made no difference.",WASH,distil-whisper/distil-large-v2
nephrostomy,clinical,neh-FROS-toh-mee,WASH,0.0,The patient was diagnosed with nefrostomy.,The patient was diagnosed with nefrostomy.,The patient was diagnosed with nephrostomy.,"Both transcripts produced the same incorrect spelling ""nefrostomy"" with no improvement from the dictionary.",HURTS,distil-whisper/distil-large-v2
ureterostomy,clinical,yoo-REE-ter-OS-toh-mee,HURTS,-0.062,The patient was diagnosed with ureterostomy.,The patient was diagnosed with U.Reter-O-S-Tomi.,The patient was diagnosed with ureterostomy.,"The without-dictionary transcript already correctly rendered ""ureterostomy,"" while the with-dictionary transcript garbled it into ""U.Reter-O-S-Tomi.""",HURTS,distil-whisper/distil-large-v2
tracheostomy,clinical,TRAY-kee-OS-toh-mee,HURTS,-0.166,The patient was diagnosed with tracheostomy.,The patient was diagnosed with Trey Kee-O-S-Tomi.,The patient was diagnosed with tracheostomy.,"Without dictionary, the term was correctly rendered as ""tracheostomy""; with dictionary, it became a garbled phonetic spelling ""Trey Kee-O-S-Tomi.""",WASH,distil-whisper/distil-large-v2
cricothyroidotomy,clinical,KRY-koh-thy-ROY-DOT-oh-mee,HURTS,-0.212,The patient was diagnosed with cricothyroidotomy.,The patient was diagnosed with k-ry-cothyro.o-me.,The patient was diagnosed with cricothyroidotomy.,"The without-dictionary transcript correctly rendered ""cricothyroidotomy,"" while the with-dictionary transcript produced a garbled ""k-ry-cothyro.o-me.""",HURTS,distil-whisper/distil-large-v2
thoracotomy,clinical,thor-ah-KOT-oh-mee,HURTS,-0.05,The patient was diagnosed with Thoracotomy.,The patient was diagnosed with Thoracot O'Me.,The patient was diagnosed with thoracotomy.,,HURTS,distil-whisper/distil-large-v2
sternotomy,clinical,ster-NOT-oh-mee,WASH,-0.094,The patient was diagnosed with sternotomy.,The patient was diagnosed with Stir-Not O-Me.,The patient was diagnosed with sternotomy.,"Both transcripts fail to clearly capture ""sternotomy"" — the without-dictionary version at least preserves the recognizable word ""sternotomy,"" while the with-dictionary version fragments it into nonsense syllables, but neither achieves a clear correct rendering.",HURTS,distil-whisper/distil-large-v2
laparotomy,clinical,lap-ah-ROT-oh-mee,WASH,-0.094,The patient was diagnosed with laparotomy.,The patient was diagnosed with lap-baw-wrought O-Me.,The patient was diagnosed with laparotomy.,"Both transcripts fail to clearly render ""laparotomy"" correctly; the dictionary version is fragmented and arguably worse, but neither recovers the target term properly.",HURTS,distil-whisper/distil-large-v2
celiotomy,clinical,see-lee-OT-oh-mee,HURTS,-0.153,The patient was diagnosed with celiotomy.,The patient was diagnosed with C. Lee O.T. O. Me.,The patient was diagnosed with celiotomy.,"The without-dictionary transcript already produced the correct term ""celiotomy,"" while the with-dictionary transcript fragmented it into nonsensical letter-spellings ""C. Lee O.T. O. Me.""",HURTS,distil-whisper/distil-large-v2
arthroscopy,clinical,ar-THROS-koh-pee,HURTS,-0.153,The patient was diagnosed with arthroscopy.,The patient was diagnosed with R.Sruz-Copee.,The patient was diagnosed with arthroscopy.,"The without-dictionary transcript correctly captured ""arthroscopy,"" while the with-dictionary transcript garbled it into ""R.Sruz-Copee.""",WASH,distil-whisper/distil-large-v2
bronchoscopy,clinical,brong-KOS-koh-pee,HURTS,-0.138,The patient was diagnosed with broncoscopy.,The patient was diagnosed with Bronk-K-O-S-K-O-P.,The patient was diagnosed with bronchoscopy.,"Without dictionary, ""broncoscopy"" is a reasonable phonetic rendering of ""bronchoscopy""; with dictionary, the term is spelled out letter-by-letter as ""Bronk-K-O-S-K-O-P,"" which is far worse.",WASH,distil-whisper/distil-large-v2
colonoscopy,clinical,KOH-lon-OS-koh-pee,HURTS,-0.107,The patient was diagnosed with colonoscopy.,The patient was diagnosed with K-O-H-Lon-O-S-COP.,The patient was diagnosed with colonoscopy.,"The without-dictionary transcript correctly rendered ""colonoscopy,"" while the with-dictionary transcript produced a garbled letter-by-letter spelling ""K-O-H-Lon-O-S-COP.""",HURTS,distil-whisper/distil-large-v2
endoscopy,clinical,en-DOS-koh-pee,WASH,0.0,The patient was diagnosed with endoscopy.,The patient was diagnosed with endoscopy.,The patient was diagnosed with endoscopy.,"Both transcripts are identical and correctly render ""endoscopy,"" so the dictionary made no difference.",HELPS,distil-whisper/distil-large-v2
gastroscopy,clinical,gas-TROS-koh-pee,WASH,0.0,The patient was diagnosed with gastroscopy.,The patient was diagnosed with gastroscopy.,The patient was diagnosed with gastroscopy.,"Both transcripts are identical, so the dictionary entry had no effect.",WASH,distil-whisper/distil-large-v2
sigmoidoscopy,clinical,sig-moy-DOS-koh-pee,WASH,0.0,The patient was diagnosed with sigmoidoscopy.,The patient was diagnosed with sigmoidoscopy.,The patient was diagnosed with sigmoidoscopy.,"Both transcripts are identical and neither clearly captures the term as a procedure (it sounds like a diagnosis rather than a procedure name), so the dictionary made no difference.",WASH,distil-whisper/distil-large-v2
cystoscopy,clinical,sis-TOS-koh-pee,WASH,-0.021,The patient was diagnosed with cystoscopy.,The patient was diagnosed with cystophescopy.,The patient was diagnosed with cystoscopy.,"Both transcripts are wrong; the dictionary version (""cystophescopy"") is actually more garbled than the without-dictionary version (""cystoscopy""), but neither recovers the correct term clearly.",HURTS,distil-whisper/distil-large-v2
colposcopy,clinical,kol-POS-koh-pee,WASH,-0.115,The patient was diagnosed with colposcopy.,The patient was diagnosed with Kolposkopi.,The patient was diagnosed with colposcopy.,"Both transcripts fail to clearly render the target term correctly; the dictionary version ""Kolposkopi"" is a German-influenced rendering that doesn't match the English pronunciation goal, and the without-dictionary version ""colposcopy"" is closer to the target despite being in a nonsensical sentence context.",HURTS,distil-whisper/distil-large-v2
hysteroscopy,clinical,his-ter-OS-koh-pee,HURTS,-0.076,The patient was diagnosed with hystereoscopy.,The patient was diagnosed with his TertOS-CoP.,The patient was diagnosed with hysteroscopy.,"The ""without dictionary"" transcript already had a close spelling (""hystereoscopy"") that a listener could parse as the target term, while the ""with dictionary"" transcript became garbled nonsense (""his TertOS-CoP"").",HURTS,distil-whisper/distil-large-v2
laparoscopy,clinical,lap-ah-ROS-koh-pee,WASH,0.0,The patient was diagnosed with laparoscopy.,The patient was diagnosed with laparoscopy.,The patient was diagnosed with laparoscopy.,"Both transcripts are identical and correctly render ""laparoscopy,"" so the dictionary had no effect.",HURTS,distil-whisper/distil-large-v2
thoracoscopy,clinical,thor-ah-KOS-koh-pee,WASH,-0.113,The patient was diagnosed with thoracoscopy.,The patient was diagnosed with Thora KOS-KOP.,The patient was diagnosed with thoracoscopy.,"Both transcripts fail to clearly render ""thoracoscopy"" correctly; the dictionary version fragments it into ""Thora KOS-KOP"" which is not an improvement over the original attempt.",HURTS,distil-whisper/distil-large-v2
mediastinoscopy,clinical,MEE-dee-ah-stih-NOS-koh-pee,HURTS,-0.078,The patient was diagnosed with mediastinoscopy.,The patient was diagnosed with M-E-D-S-D-Noscopy.,The patient was diagnosed with mediastinoscopy.,"The without-dictionary transcript correctly rendered ""mediastinoscopy,"" while the with-dictionary transcript garbled it into ""M-E-D-S-D-Noscopy.""",HURTS,distil-whisper/distil-large-v2
arthroplasty,clinical,AR-throh-plas-tee,WASH,-0.043,The patient was diagnosed with arthroplasty.,The patient was diagnosed with aarthroplaste.,The patient was diagnosed with arthroplasty.,"Both transcripts fail to clearly render ""arthroplasty"" correctly; the dictionary version (""aarthroplaste"") is actually worse/more garbled than the without-dictionary version which at least had the correct term.",WASH,distil-whisper/distil-large-v2
osteotomy,clinical,os-tee-OT-oh-mee,HURTS,-0.215,The patient was diagnosed with osteotomy.,The patient was diagnosed with Oz T-O-T-O-Mee.,The patient was diagnosed with osteotomy.,"Without dictionary, ""osteotomy"" was correctly transcribed; with dictionary, it was garbled into ""Oz T-O-T-O-Mee.""",WASH,distil-whisper/distil-large-v2
craniotomy,clinical,KRAY-nee-OT-oh-mee,HURTS,-0.174,The patient was diagnosed with craniotomy.,The patient was diagnosed with K-R-N-O-T-O-Mee.,The patient was diagnosed with craniotomy.,"The without-dictionary transcript already produced the correct term ""craniotomy,"" while the with-dictionary transcript spelled it out letter-by-letter as ""K-R-N-O-T-O-Mee,"" which is worse.",HURTS,distil-whisper/distil-large-v2
laminectomy,clinical,lam-ih-NEK-toh-mee,WASH,-0.05,The patient was diagnosed with laminectomy.,The patient was diagnosed with Lamehonectomy.,The patient was diagnosed with laminectomy.,"Both transcripts fail to correctly render ""laminectomy"" — the without-dictionary version uses the correct term, while the with-dictionary version produces a garbled ""Lamehonectomy,"" so the dictionary neither helps nor meaningfully hurts the recognition of the target term.",HURTS,distil-whisper/distil-large-v2
discectomy,clinical,dis-EK-toh-mee,WASH,-0.045,The patient was diagnosed with dysectomy.,The patient was diagnosed with dyseketomy.,The patient was diagnosed with discectomy.,"Both transcripts mispronounce the term and neither recovers ""discectomy""; the dictionary version is marginally worse but not meaningfully different.",HURTS,distil-whisper/distil-large-v2
rhizotomy,clinical,ry-ZOT-oh-mee,HURTS,-0.134,The patient was diagnosed with rhizotomy.,The patient was diagnosed with Rye Zot O Me.,The patient was diagnosed with rhizotomy.,"The without-dictionary transcript correctly rendered ""rhizotomy,"" while the with-dictionary transcript broke it into a garbled phonetic spelling ""Rye Zot O Me.""",WASH,distil-whisper/distil-large-v2
neurectomy,clinical,nyoo-REK-toh-mee,WASH,-0.013,The patient was diagnosed with nerectomy.,The patient was diagnosed with new rectomy.,The patient was diagnosed with neurectomy.,"Both transcripts fail to produce the correct term ""neurectomy""; the dictionary version (""new rectomy"") is arguably worse as it fragments the word into two nonsensical pieces, while the non-dictionary version at least approximates a single-word mispronunciation.",WASH,distil-whisper/distil-large-v2
sympathectomy,clinical,sim-pah-THEK-toh-mee,HURTS,-0.138,The patient was diagnosed with sympathectomy.,The patient was diagnosed with Simpa Cectomi.,The patient was diagnosed with sympathectomy.,"The without-dictionary transcript correctly rendered ""sympathectomy,"" while the with-dictionary transcript garbled it into ""Simpa Cectomi.""",WASH,distil-whisper/distil-large-v2
vagotomy,clinical,vay-GOT-oh-mee,HURTS,-0.133,The patient was diagnosed with vagotomy.,The patient was diagnosed with Vagat O'Me.,The patient was diagnosed with vagotomy.,,HELPS,distil-whisper/distil-large-v2
epithelium,anatomical,eh-pih-THEE-lee-um,HURTS,-0.034,The biopsy shows inflammation in the epithelium.,The biopsy shows inflammation in the apichelium.,The biopsy shows inflammation in the epithelium.,"The without-dictionary transcript correctly rendered ""epithelium,"" while the with-dictionary transcript garbled it into ""apichelium.""",HURTS,distil-whisper/distil-large-v2
endothelium,anatomical,en-doh-THEE-lee-um,WASH,-0.121,The biopsy shows inflammation in the endothelium.,The biopsy shows inflammation in the endocin echelion.,The biopsy shows inflammation in the endothelium.,"Both transcripts fail to clearly produce ""endothelium"" — the without-dictionary version is closer to the target, while the with-dictionary version is garbled, but neither is a clear recovery of the correct term.",WASH,distil-whisper/distil-large-v2
mesothelium,anatomical,meh-zoh-THEE-lee-um,HURTS,-0.067,The biopsy shows inflammation in the mesothelium.,The biopsy shows inflammation in the mesotislium.,The biopsy shows inflammation in the mesothelium.,"The without-dictionary transcript correctly rendered ""mesothelium,"" while the with-dictionary transcript garbled it to ""mesotislium.""",HURTS,distil-whisper/distil-large-v2
stratum corneum,anatomical,STRAY-tum KOR-nee-um,HURTS,-0.08,The biopsy shows inflammation in the stratum corneum.,The biopsy shows inflammation in the estratum-K-O-R-Neum.,The biopsy shows inflammation in the stratum corneum.,"The without-dictionary transcript already correctly rendered ""stratum corneum,"" while the with-dictionary transcript garbled it into ""estratum-K-O-R-Neum.""",HURTS,distil-whisper/distil-large-v2
dermis,anatomical,DER-mis,WASH,-0.022,The biopsy shows inflammation in the dermis.,The biopsy shows inflammation in the D.E.R. miss.,The biopsy shows inflammation in the dermis.,"Both transcripts fail to clearly produce ""dermis"" naturally; the dictionary version produced a fragmented letter-by-letter spelling attempt, which is not an improvement.",WASH,distil-whisper/distil-large-v2
epidermis,anatomical,eh-pih-DER-mis,WASH,-0.036,The biopsy shows inflammation in the epidermis.,The biopsy shows inflammation in the APD-Armis.,The biopsy shows inflammation in the epidermis.,"Both transcripts fail to clearly render ""epidermis"" — the without-dictionary version is correct, while the with-dictionary version is garbled as ""APD-Armis,"" but the baseline was already accurate, so the dictionary didn't meaningfully help recover the term.",HURTS,distil-whisper/distil-large-v2
hypodermis,anatomical,hy-poh-DER-mis,WASH,0.0,The biopsy shows inflammation in the hypodermis.,The biopsy shows inflammation in the hypodermis.,The biopsy shows inflammation in the hypodermis.,"Both transcripts are identical and correctly render ""hypodermis.""",HURTS,distil-whisper/distil-large-v2
subcutaneous,anatomical,sub-kyoo-TAY-nee-us,WASH,-0.059,The biopsy shows inflammation in the subcutaneous.,The biopsy shows inflammation in the subcutineus.,The biopsy shows inflammation in the subcutaneous.,"Both transcripts are close but neither perfectly captures ""subcutaneous""; the dictionary version ""subcutineus"" is arguably slightly worse than ""subcutaneous"" (which was already correct in the without-dictionary version), but the difference is minimal.",HURTS,distil-whisper/distil-large-v2
fascia,anatomical,FAH-shah,HURTS,-0.089,The biopsy shows inflammation in the fascia.,The biopsy shows inflammation in the FAAH Shah.,The biopsy shows inflammation in the fascia.,"The without-dictionary transcript correctly rendered ""fascia,"" while the with-dictionary transcript garbled it into ""FAAH Shah.""",WASH,distil-whisper/distil-large-v2
ligament,anatomical,LIH-gah-ment,HURTS,-0.034,The biopsy shows inflammation in the ligament.,The biopsy shows inflammation in the L.I.H. Gaumment.,The biopsy shows inflammation in the ligament.,"The without-dictionary transcript already correctly produced ""ligament,"" while the with-dictionary transcript garbled it into ""L.I.H. Gaumment.""",WASH,distil-whisper/distil-large-v2
tendon,anatomical,TEN-dun,WASH,0.0,The biopsy shows inflammation in the tendon.,The biopsy shows inflammation in the tendon.,The biopsy shows inflammation in the tendon.,"Both transcripts already correctly produced ""tendon"" with no difference.",WASH,distil-whisper/distil-large-v2
aponeurosis,anatomical,ap-oh-noo-ROH-sis,WASH,-0.024,The biopsy shows inflammation in the aponorosis.,The biopsy shows inflammation in the apononuroch cis.,The biopsy shows inflammation in the aponeurosis.,"Both transcripts garble the term (""aponorosis"" vs ""apononuroch cis""), and neither recovers the correct pronunciation ""aponeurosis.""",HURTS,distil-whisper/distil-large-v2
bursa,anatomical,BER-sah,WASH,-0.048,The biopsy shows inflammation in the bursa.,The biopsy shows inflammation in the BER saw.,The biopsy shows inflammation in the bursa.,"Both transcripts fail to clearly capture the target term ""bursa"" — the without-dictionary version spells it correctly as a word, while the with-dictionary version fragments it into ""BER saw,"" so neither is a clear win.",WASH,distil-whisper/distil-large-v2
meniscus,anatomical,meh-NIS-kus,HURTS,-0.055,The biopsy shows inflammation in the meniscus.,The biopsy shows inflammation in the May I eschus.,The biopsy shows inflammation in the meniscus.,"The without-dictionary transcript correctly rendered ""meniscus,"" while the with-dictionary transcript garbled it into ""May I eschus.""",WASH,distil-whisper/distil-large-v2
