text,category,alias,verdict,gain,heard_without_dict,heard_with_dict,sentence
aripiprazole,drug,a-RIP-ip-ra-zole,WASH,0.0,a rip a brazola,a rip i bae razola,Please take your aripiprazole as prescribed.
olanzapine,drug,oh-LAN-zah-peen,WASH,0.0,olanza penis,olanza penis,Please take your olanzapine as prescribed.
chlorpromazine,drug,klor-PROH-mah-zeen,WASH,0.0,chlorpromazine,chlorpromazine,Please take your chlorpromazine as prescribed.
dexmethylphenidate,drug,dex-METH-il-FEN-i-date,WASH,0.0,dexmethylfinidate,dexmethylfinidate,Please take your dexmethylphenidate as prescribed.
tamoxifen,drug,ta-MOX-i-fen,WASH,0.0,tamoxifen,tamoxifen,Please take your tamoxifen as prescribed.
leuprolide,drug,loo-PRO-lide,WASH,0.0,luperlide,luperlide,Please take your leuprolide as prescribed.
bicalutamide,drug,bye-ka-LOO-ta-mide,WASH,0.0,bicalutamide,bicalutamide,Please take your bicalutamide as prescribed.
rituximab,drug,ri-TUX-i-mab,WASH,0.0,rituximab,rituximab,Please take your rituximab as prescribed.
pertuzumab,drug,per-TUZ-oo-mab,WASH,0.0,pertuzumab,pertuzumab,Please take your pertuzumab as prescribed.
nivolumab,drug,niv-OL-oo-mab,WASH,0.0,nivolumab,nivolumab,Please take your nivolumab as prescribed.
docetaxel,drug,doh-se-TAKS-el,WASH,0.0,docetaxel,docetaxel,Please take your docetaxel as prescribed.
doxorubicin,drug,dok-soh-ROO-bi-sin,WASH,0.0,doxorubicin,doxorubicin,Please take your doxorubicin as prescribed.
vinblastine,drug,vin-BLAS-teen,WASH,0.0,vinblastine,vinblastine,Please take your vinblastine as prescribed.
ifosfamide,drug,i-FOS-fa-mide,WASH,0.0,ifosfamide,ifosfamide,Please take your ifosfamide as prescribed.
methotrexate,drug,meth-oh-TREK-sate,WASH,0.0,methotrexate,methotrexate,Please take your methotrexate as prescribed.
infliximab,drug,in-FLIK-si-mab,WASH,0.0,infliximab,infliximab,Please take your infliximab as prescribed.
leflunomide,drug,le-FLOO-no-mide,WASH,0.0,leflunomide,leflunomide,Please take your leflunomide as prescribed.
sulfasalazine,drug,SUL-fa-SAL-a-zeen,WASH,0.0,sulfasalazine,sulfasalazine,Please take your sulfasalazine as prescribed.
azathioprine,drug,AY-za-THYE-oh-preen,WASH,0.0,azathiapreen,azathyopreen,Please take your azathioprine as prescribed.
sirolimus,drug,sir-OH-li-mus,WASH,0.0,seralamus,ser olee mus,Please take your sirolimus as prescribed.
levodopa,drug,LEE-voe-DOE-pa,WASH,0.0,livo dopa,livo dopa,Please take your levodopa as prescribed.
ropinirole,drug,roe-PIN-i-role,WASH,0.0,ropanny roll,rop n i roll,Please take your ropinirole as prescribed.
amantadine,drug,a-MAN-ta-deen,WASH,0.0,amantadine,amantadine,Please take your amantadine as prescribed.
apomorphine,drug,AP-oh-MOR-feen,WASH,0.0,apomorphine,apomorphine,Please take your apomorphine as prescribed.
galantamine,drug,guh-LAN-tuh-meen,WASH,0.0,galantamine,galantamine,Please take your galantamine as prescribed.
prednisone,drug,PRED-nih-zone,WASH,0.0,prednisone,prednisone,Please take your prednisone as prescribed.
prednisolone,drug,pred-NIS-oh-lone,WASH,0.0,prennis o lone,prennis o lone,Please take your prednisolone as prescribed.
alendronate,drug,uh-LEN-dro-nate,WASH,0.0,alendronate,alendronate,Please take your alendronate as prescribed.
ibandronate,drug,ih-BAN-dro-nate,WASH,0.0,eye bandronate,eye bandronate,Please take your ibandronate as prescribed.
denosumab,drug,den-OH-suh-mab,WASH,0.0,denosumab,denosumab,Please take your denosumab as prescribed.
calcitonin,drug,kal-sih-TONE-in,WASH,0.0,calcitonin,calcitonin,Please take your calcitonin as prescribed.
tamsulosin,drug,tam-SOO-loh-sin,WASH,0.0,tamsulosin,tamsulosin,Please take your tamsulosin as prescribed.
silodosin,drug,si-LOH-doh-sin,WASH,0.0,solidos in,solidos in,Please take your silodosin as prescribed.
hydroxyzine,drug,hy-DROK-si-zeen,WASH,0.0,hydroxazine,hydroxazine,Please take your hydroxyzine as prescribed.
loratadine,drug,lor-AT-ah-deen,WASH,0.0,laura taddine,laura taddine,Please take your loratadine as prescribed.
modafinil,drug,mo-DAF-i-nil,WASH,0.0,modafinil,modafinil,Please take your modafinil as prescribed.
rizatriptan,drug,ry-zah-TRIP-tan,WASH,0.0,rizatriptan,rizatriptan,Please take your rizatriptan as prescribed.
eletriptan,drug,el-e-TRIP-tan,WASH,0.0,l e trip tan,l e trip tan,Please take your eletriptan as prescribed.
erenumab,drug,eh-REH-nyoo-mab,WASH,0.0,arena mab,renew mab,Please take your erenumab as prescribed.
fremanezumab,drug,freh-mah-NEH-zoo-mab,WASH,0.0,fremanezumab,fremanezumab,Please take your fremanezumab as prescribed.
galcanezumab,drug,gal-kah-NEH-zoo-mab,WASH,0.0,galkanezumab,galkanezumab,Please take your galcanezumab as prescribed.
OD,acronym,right eye,WASH,0.0,,,The patient has a history of OD.
Hodgkin,acronym,HOJ-kin,WASH,0.0,hodgkin,hodgkin,The patient has a history of Hodgkin.
GOUT,acronym,gowt,WASH,0.0,gout,gout,The patient has a history of GOUT.
Psych,acronym,SYKE,WASH,0.0,psych,psych,The patient has a history of Psych.
Derm,acronym,derm,WASH,0.0,derm,derm,The patient has a history of Derm.
Gest,acronym,gest,WASH,0.0,just,just,The patient has a history of Gest.
D5W,acronym,D-five-W,WASH,0.0,dw,dw,The patient has a history of D5W.
D5NS,acronym,D-five-N-S,WASH,0.0,dns,dns,The patient has a history of D5NS.
D5LR,acronym,D-five-L-R,WASH,0.0,dlr,dlr,The patient has a history of D5LR.
PEG,acronym,PEG,WASH,0.0,peg,peg,The patient has a history of PEG.
Pacemaker,acronym,PACE-may-ker,WASH,0.0,pacemaker,pacemaker,The patient has a history of Pacemaker.
CABG,acronym,cabbage,WASH,0.0,cabbie,cabbie,The patient has a history of CABG.
angina pectoris,clinical,an-JY-nah PEK-tor-is,WASH,0.0,angina pectoris,angina pectoris,The patient was diagnosed with angina pectoris.
ventricular fibrillation,clinical,ven-TRIK-yoo-lar fib-ri-LAY-shun,WASH,0.0,ventricular fibrillation,ventricular fibrillation,The patient was diagnosed with ventricular fibrillation.
hypotension,clinical,hy-poh-TEN-shun,WASH,0.0,hypotension,hypotension,The patient was diagnosed with hypotension.
myocarditis,clinical,my-oh-kar-DY-tis,WASH,0.0,myocarditis,myocarditis,The patient was diagnosed with myocarditis.
cardiomyopathy,clinical,kar-dee-oh-my-OP-ah-thee,WASH,0.0,cardiomyopathy,cardiomyopathy,The patient was diagnosed with cardiomyopathy.
thrombophlebitis,clinical,throm-boh-fleh-BY-tis,WASH,0.0,thrombophlebitis,thrombophlebitis,The patient was diagnosed with thrombophlebitis.
phlebitis,clinical,fleh-BY-tis,WASH,0.0,phlebitis,phlebitis,The patient was diagnosed with phlebitis.
embolism,clinical,EM-boh-liz-um,WASH,0.0,embolism,embolism,The patient was diagnosed with embolism.
regurgitation,clinical,ree-gur-ji-TAY-shun,WASH,0.0,regurgitation,regurgitation,The patient was diagnosed with regurgitation.
prolapse,clinical,proh-LAPS,WASH,0.0,prolapse,prolapse,The patient was diagnosed with prolapse.
dissection,clinical,dy-SEK-shun,WASH,0.0,dissection,dissection,The patient was diagnosed with dissection.
infarction,clinical,in-FARK-shun,WASH,0.0,infarction,infarction,The patient was diagnosed with infarction.
reperfusion,clinical,REE-per-FYOO-zhun,WASH,0.0,reperfusion,reperfusion,The patient was diagnosed with reperfusion.
bronchitis,clinical,brong-KY-tis,WASH,0.0,bronchitis,bronchitis,The patient was diagnosed with bronchitis.
bronchiectasis,clinical,brong-kee-EK-tah-sis,WASH,0.0,bronchiectasis,bronchiectasis,The patient was diagnosed with bronchiectasis.
hemothorax,clinical,hee-moh-THOR-aks,WASH,0.0,hemothorax,hemothorax,The patient was diagnosed with hemothorax.
pleural effusion,clinical,PLOO-ral eh-FYOO-zhun,WASH,0.0,plural effusion,plural effusion,The patient was diagnosed with pleural effusion.
pulmonary fibrosis,clinical,PUL-moh-nair-ee fy-BROH-sis,WASH,0.0,pulmonary fibrosis,pulmonary fibrosis,The patient was diagnosed with pulmonary fibrosis.
tuberculosis,clinical,too-BER-kyoo-LOH-sis,WASH,0.0,tuberculosis,tuberculosis,The patient was diagnosed with tuberculosis.
hypoxia,clinical,hy-POK-see-ah,WASH,0.0,hypoxia,hypoxia,The patient was diagnosed with hypoxia.
hypercapnia,clinical,hy-per-KAP-nee-ah,WASH,0.0,hypercapnia,hypercapnia,The patient was diagnosed with hypercapnia.
apnea,clinical,AP-nee-ah,WASH,0.0,apnea,apnea,The patient was diagnosed with apnea.
dyspnea,clinical,DISP-nee-ah,WASH,0.0,dyspnea,dyspnea,The patient was diagnosed with dyspnea.
wheezing,clinical,WEE-zing,WASH,0.0,weezing,weezing,The patient was diagnosed with wheezing.
gastroenteritis,clinical,gas-tro-en-ter-EYE-tis,WASH,0.0,gastroenteritis,gastroenteritis,The patient was diagnosed with gastroenteritis.
colitis,clinical,ko-LYE-tis,WASH,0.0,colitis,colitis,The patient was diagnosed with colitis.
diverticulitis,clinical,dye-ver-tik-yoo-LYE-tis,WASH,0.0,diverticulitis,diverticulitis,The patient was diagnosed with diverticulitis.
cholecystitis,clinical,ko-luh-sis-TYE-tis,WASH,0.0,cholecystitis,cholecystitis,The patient was diagnosed with cholecystitis.
pancreatitis,clinical,pan-kree-a-TYE-tis,WASH,0.0,pancreatitis,pancreatitis,The patient was diagnosed with pancreatitis.
hepatitis,clinical,hep-a-TYE-tis,WASH,0.0,hepatitis,hepatitis,The patient was diagnosed with hepatitis.
cirrhosis,clinical,sir-OH-sis,WASH,0.0,cirrhosis,cirrhosis,The patient was diagnosed with cirrhosis.
cholestasis,clinical,ko-luh-STAY-sis,WASH,0.0,cholestasis,cholestasis,The patient was diagnosed with cholestasis.
steatosis,clinical,stee-a-TOH-sis,WASH,0.0,steatosis,steatosis,The patient was diagnosed with steatosis.
steatohepatitis,clinical,stee-a-toh-hep-a-TYE-tis,WASH,0.0,steatohepatitis,steatohepatitis,The patient was diagnosed with steatohepatitis.
peritonitis,clinical,pair-ih-toh-NYE-tis,WASH,0.0,peritonitis,peritonitis,The patient was diagnosed with peritonitis.
nephrolithiasis,clinical,nef-ro-lih-THIGH-a-sis,WASH,0.0,nephrolithiasis,nephrolithiasis,The patient was diagnosed with nephrolithiasis.
hydronephrosis,clinical,HY-droh-neh-FROH-sis,WASH,0.0,hydronephrosis,hydronephrosis,The patient was diagnosed with hydronephrosis.
retention,clinical,ree-TEN-shun,WASH,0.0,retention,retention,The patient was diagnosed with retention.
encephalitis,clinical,en-SEH-fah-LY-tis,WASH,0.0,encephalitis,encephalitis,The patient was diagnosed with encephalitis.
meningitis,clinical,MEH-nin-JY-tis,WASH,0.0,meningitis,meningitis,The patient was diagnosed with meningitis.
dysphonia,clinical,dis-FOH-nee-ah,WASH,0.0,dysfomia,disfonia,The patient was diagnosed with dysphonia.
chorea,clinical,koh-REE-ah,WASH,0.0,chorea,chorea,The patient was diagnosed with chorea.
tremor,clinical,TREM-or,WASH,0.0,tremor,tremor,The patient was diagnosed with tremor.
clonus,clinical,KLOH-nus,WASH,0.0,clonus,clonus,The patient was diagnosed with clonus.
ptosis,clinical,TOE-sis,WASH,0.0,tosis,tosis,The patient was diagnosed with ptosis.
miosis,clinical,my-OH-sis,WASH,0.0,myosis,myosis,The patient was diagnosed with miosis.
mydriasis,clinical,mi-DRY-ah-sis,WASH,0.0,mydriasis,mydriasis,The patient was diagnosed with mydriasis.
hyperreflexia,clinical,HY-per-re-FLEK-see-ah,WASH,0.0,hyperreflexia,hyperreflexia,The patient was diagnosed with hyperreflexia.
Babinski,clinical,ba-BIN-skee,WASH,0.0,babinski,babinski,The patient was diagnosed with Babinski.
neuralgia,clinical,nyoo-RAL-jah,WASH,0.0,neuralgia,neuralgia,The patient was diagnosed with neuralgia.
sciatica,clinical,sy-AT-ik-ah,WASH,0.0,saica,saica,The patient was diagnosed with sciatica.
hypothyroidism,clinical,HY-po-THY-roy-dizm,WASH,0.0,hypothyroidism,hypothyroidism,The patient was diagnosed with hypothyroidism.
myxedema,clinical,mik-seh-DEE-mah,WASH,0.0,mixdeema,mixdeema,The patient was diagnosed with myxedema.
hypocalcemia,clinical,HY-po-kal-SEE-mee-ah,WASH,0.0,hypocalcemia,hypocalcemia,The patient was diagnosed with hypocalcemia.
hyperkalemia,clinical,hy-per-kah-LEE-mee-ah,WASH,0.0,hyperkalemia,hyperkalemia,The patient was diagnosed with hyperkalemia.
alkalosis,clinical,al-kah-LOH-sis,WASH,0.0,alkalosis,alkalosis,The patient was diagnosed with alkalosis.
ketoacidosis,clinical,kee-toh-ah-sih-DOH-sis,WASH,0.0,ketoacidosis,ketoacidosis,The patient was diagnosed with ketoacidosis.
pheochromocytoma,clinical,fee-oh-kroh-moh-sy-TOH-mah,WASH,0.0,pheochromocytoma,pheochromocytoma,The patient was diagnosed with pheochromocytoma.
thrombocytopenia,clinical,throm-boh-sy-toh-PEE-nee-ah,WASH,0.0,thrombocytopenia,thrombocytopenia,The patient was diagnosed with thrombocytopenia.
thrombocytosis,clinical,throm-boh-sy-TOH-sis,WASH,0.0,thrombocytosis,thrombocytosis,The patient was diagnosed with thrombocytosis.
monocytosis,clinical,mon-oh-sy-TOH-sis,WASH,0.0,monocytosis,monocytosis,The patient was diagnosed with monocytosis.
basophilia,clinical,bay-soh-FIL-ee-ah,WASH,0.0,basophilia,basophilia,The patient was diagnosed with basophilia.
hemolysis,clinical,hee-MOL-ih-sis,WASH,0.0,hemolysis,hemolysis,The patient was diagnosed with hemolysis.
abscess,clinical,AB-ses,WASH,0.0,abscess,abscess,The patient was diagnosed with abscess.
necrotizing fasciitis,clinical,NEK-roh-ty-zing fash-ee-EYE-tis,WASH,0.0,necrotizing fasciitis,necrotizing fasciitis,The patient was diagnosed with necrotizing fasciitis.
septic arthritis,clinical,SEP-tik ar-THRY-tis,WASH,0.0,septic arthritis,septic arthritis,The patient was diagnosed with septic arthritis.
sepsis,clinical,SEP-sis,WASH,0.0,sepsis,sepsis,The patient was diagnosed with sepsis.
endotoxemia,clinical,en-doh-tok-SEE-mee-ah,WASH,0.0,endotoxemia,endotoxemia,The patient was diagnosed with endotoxemia.
eczema,clinical,EK-zeh-mah,WASH,0.0,eczema,eczema,The patient was diagnosed with eczema.
vesicle,clinical,VES-ih-kul,WASH,0.0,vessicle,vessicle,The patient was diagnosed with vesicle.
pustule,clinical,PUS-chool,WASH,0.0,puss,puss,The patient was diagnosed with pustule.
macule,clinical,MAK-yool,WASH,0.0,macule,macule,The patient was diagnosed with macule.
nodule,clinical,NOD-yool,WASH,0.0,nodule,nodule,The patient was diagnosed with nodule.
plaque,clinical,PLAK,WASH,0.0,plaque,plaque,The patient was diagnosed with plaque.
scale,clinical,SKAYL,WASH,0.0,skill,skill,The patient was diagnosed with scale.
crust,clinical,KRUST,WASH,0.0,crust,crust,The patient was diagnosed with crust.
erosion,clinical,ee-ROH-zhun,WASH,0.0,erosion,erosion,The patient was diagnosed with erosion.
ulcer,clinical,UL-ser,WASH,0.0,ulcer,ulcer,The patient was diagnosed with ulcer.
atrophy,clinical,AT-roh-fee,WASH,0.0,atrophy,atrophy,The patient was diagnosed with atrophy.
appendectomy,clinical,ap-en-DEK-toh-mee,WASH,0.0,an appendectomy,an appendectomy,The patient was diagnosed with appendectomy.
nephrectomy,clinical,neh-FREK-toh-mee,WASH,0.0,nefrectomy,nefrectomy,The patient was diagnosed with nephrectomy.
thyroidectomy,clinical,thy-roy-DEK-toh-mee,WASH,0.0,thyrodoctomy,thyrodoctomy,The patient was diagnosed with thyroidectomy.
splenectomy,clinical,spleh-NEK-toh-mee,WASH,0.0,splenectomy,splenectomy,The patient was diagnosed with splenectomy.
colectomy,clinical,koh-LEK-toh-mee,WASH,0.0,colectomy,colectomy,The patient was diagnosed with colectomy.
proctectomy,clinical,prok-TEK-toh-mee,WASH,0.0,proctectomy,proctectomy,The patient was diagnosed with proctectomy.
cystectomy,clinical,sis-TEK-toh-mee,WASH,0.0,cystectomy,cystectomy,The patient was diagnosed with cystectomy.
tracheostomy,clinical,TRAY-kee-OS-toh-mee,WASH,0.0,tracheostomy,tracheostomy,The patient was diagnosed with tracheostomy.
arthroscopy,clinical,ar-THROS-koh-pee,WASH,0.0,arthroscopy,arthroscopy,The patient was diagnosed with arthroscopy.
gastroscopy,clinical,gas-TROS-koh-pee,WASH,0.0,gastroscopy,gastroscopy,The patient was diagnosed with gastroscopy.
sigmoidoscopy,clinical,sig-moy-DOS-koh-pee,WASH,0.0,sigmoidoscopy,sigmoidoscopy,The patient was diagnosed with sigmoidoscopy.
arthroplasty,clinical,AR-throh-plas-tee,WASH,0.0,arthroplasty,arthroplasty,The patient was diagnosed with arthroplasty.
osteotomy,clinical,os-tee-OT-oh-mee,WASH,0.0,osteodomy,osteodomy,The patient was diagnosed with osteotomy.
neurectomy,clinical,nyoo-REK-toh-mee,WASH,0.0,nurectomy,nurectomy,The patient was diagnosed with neurectomy.
fascia,anatomical,FAH-shah,WASH,0.0,fascia,fascia,The biopsy shows inflammation in the fascia.
ligament,anatomical,LIH-gah-ment,WASH,0.0,ligament,ligament,The biopsy shows inflammation in the ligament.
tendon,anatomical,TEN-dun,WASH,0.0,tendon,tendon,The biopsy shows inflammation in the tendon.
bursa,anatomical,BER-sah,WASH,0.0,bursa,bursa,The biopsy shows inflammation in the bursa.
meniscus,anatomical,meh-NIS-kus,WASH,0.0,meniscus,meniscus,The biopsy shows inflammation in the meniscus.
metaphysis,anatomical,meh-TAF-ih-sis,WASH,0.0,metaphysis,metaphysis,The biopsy shows inflammation in the metaphysis.
symphysis,anatomical,SIM-fih-sis,WASH,0.0,symphysis,symphysis,The biopsy shows inflammation in the symphysis.
fontanelle,anatomical,fon-tah-NEL,WASH,0.0,fontanelle,fontanelle,The biopsy shows inflammation in the fontanelle.
pericardium,anatomical,per-ih-KAR-dee-um,WASH,0.0,pericardium,pericardium,The biopsy shows inflammation in the pericardium.
media,anatomical,MEH-dee-ah,WASH,0.0,media,media,The biopsy shows inflammation in the media.
stroma,anatomical,STROH-mah,WASH,0.0,stroma,stroma,The biopsy shows inflammation in the stroma.
septum,anatomical,SEP-tum,WASH,0.0,septum,septum,The biopsy shows inflammation in the septum.
septa,anatomical,SEP-tah,WASH,0.0,septa,septa,The biopsy shows inflammation in the septa.
sulcus,anatomical,SUL-kus,WASH,0.0,sulcus,sulcus,The biopsy shows inflammation in the sulcus.
gyrus,anatomical,JY-rus,WASH,0.0,gyrus,gyrus,The biopsy shows inflammation in the gyrus.
cortex,anatomical,KOR-teks,WASH,0.0,cortex,cortex,The biopsy shows inflammation in the cortex.
capsule,anatomical,KAP-sool,WASH,0.0,capsule,capsule,The biopsy shows inflammation in the capsule.
lobe,anatomical,LOHB,WASH,0.0,lobe,lobe,The biopsy shows inflammation in the lobe.
lobule,anatomical,LOB-yool,WASH,0.0,lobule,lobule,The biopsy shows inflammation in the lobule.
glomerulus,anatomical,gloh-MER-yoo-lus,WASH,0.0,glomerulus,glomerulus,The biopsy shows inflammation in the glomerulus.
nephron,anatomical,NEF-ron,WASH,0.0,nephron,nephron,The biopsy shows inflammation in the nephron.
tubule,anatomical,TOOB-yool,WASH,0.0,tubule,tubule,The biopsy shows inflammation in the tubule.
ductule,anatomical,DUK-tool,WASH,0.0,duct,duct,The biopsy shows inflammation in the ductule.
ductus,anatomical,DUK-tus,WASH,0.0,ductus,ductus,The biopsy shows inflammation in the ductus.
epididymis,anatomical,ep-ih-DID-ih-mis,WASH,0.0,epididymis,epididymis,The biopsy shows inflammation in the epididymis.
fimbria,anatomical,FIM-bree-ah,WASH,0.0,fimbria,fimbria,The biopsy shows inflammation in the fimbria.
mesentery,anatomical,MEZ-en-ter-ee,WASH,0.0,mesentery,mesentery,The biopsy shows inflammation in the mesentery.
omentum,anatomical,oh-MEN-tum,WASH,0.0,omentum,omentum,The biopsy shows inflammation in the omentum.
mesocolon,anatomical,MEZ-oh-KOH-lon,WASH,0.0,mesocolon,mesocolon,The biopsy shows inflammation in the mesocolon.
villi,anatomical,VIL-eye,WASH,0.0,villi,villi,The biopsy shows inflammation in the villi.
microvilli,anatomical,MY-kroh-VIL-eye,WASH,0.0,microvilli,microvilli,The biopsy shows inflammation in the microvilli.
pylorus,anatomical,py-LOR-us,WASH,0.0,pylorus,pylorus,The biopsy shows inflammation in the pylorus.
fundus,anatomical,FUN-dus,WASH,0.0,fundus,fundus,The biopsy shows inflammation in the fundus.
antrum,anatomical,AN-trum,WASH,0.0,antrum,antrum,The biopsy shows inflammation in the antrum.
duodenum,anatomical,doo-oh-DEE-num,WASH,0.0,duodenum,duodenum,The biopsy shows inflammation in the duodenum.
cecum,anatomical,SEE-kum,WASH,0.0,seekm,seekm,The biopsy shows inflammation in the cecum.
appendix,anatomical,ah-PEN-diks,WASH,0.0,appendix,appendix,The biopsy shows inflammation in the appendix.
sigmoid,anatomical,SIG-moyd,WASH,0.0,sigmoid,sigmoid,The biopsy shows inflammation in the sigmoid.
rectum,anatomical,REK-tum,WASH,0.0,rectum,rectum,The biopsy shows inflammation in the rectum.
pancreas,anatomical,PAN-kree-as,WASH,0.0,pancreas,pancreas,The biopsy shows inflammation in the pancreas.
circumflex,anatomical,SER-kum-fleks,WASH,0.0,circumflex,circumflex,The biopsy shows inflammation in the circumflex.
leaflet,anatomical,LEEF-let,WASH,0.0,leaflet,leaflet,The biopsy shows inflammation in the leaflet.
semilunar,anatomical,sem-ee-LOO-nar,WASH,0.0,semilunar,semilunar,The biopsy shows inflammation in the semilunar.
atrioventricular,anatomical,ay-tree-oh-ven-TRIK-yoo-lar,WASH,0.0,atrioventricular,atrioventricular,The biopsy shows inflammation in the atrioventricular.
ventricular,anatomical,ven-TRIK-yoo-lar,WASH,0.0,ventricula,ventricula,The biopsy shows inflammation in the ventricular.
carotid,anatomical,kah-ROT-id,WASH,0.0,carot,carot,The biopsy shows inflammation in the carotid.
subclavian,anatomical,sub-KLAY-vee-an,WASH,0.0,subclavian,subclavian,The biopsy shows inflammation in the subclavian.
vertebral,anatomical,VER-teh-bral,WASH,0.0,vertebral,vertebral,The biopsy shows inflammation in the vertebral.
basilar,anatomical,BAS-ih-lar,WASH,0.0,basilar,basilar,The biopsy shows inflammation in the basilar.
circle of Willis,anatomical,SER-kul of WIL-is,WASH,0.0,circle of willis,circle of willis,The biopsy shows inflammation in the circle of Willis.
arachnoid,anatomical,ah-RAK-noyd,WASH,0.0,arachnoid,arachnoid,The biopsy shows inflammation in the arachnoid.
subarachnoid,anatomical,sub-ah-RAK-noyd,WASH,0.0,subarachnoid,subarachnoid,The biopsy shows inflammation in the subarachnoid.
choroid plexus,anatomical,KOR-oyd PLEK-sus,WASH,0.0,choroid plexus,choroid plexus,The biopsy shows inflammation in the choroid plexus.
conus medullaris,anatomical,KOH-nus med-yoo-LAR-is,WASH,0.0,conus medullaris,conus medullaris,The biopsy shows inflammation in the conus medullaris.
dorsal root,anatomical,DOR-sal ROOT,WASH,0.0,dorsal root,dorsal root,The biopsy shows inflammation in the dorsal root.
ventral root,anatomical,VEN-tral ROOT,WASH,0.0,ventral root,ventral root,The biopsy shows inflammation in the ventral root.
plexus,anatomical,PLEK-sus,WASH,0.0,plexus,plexus,The biopsy shows inflammation in the plexus.
vagus,anatomical,VAY-gus,WASH,0.0,vagus,vagus,The biopsy shows inflammation in the vagus.
hypoglossal,anatomical,HY-poh-GLOS-al,WASH,0.0,hypoglossal,hypoglossal,The biopsy shows inflammation in the hypoglossal.
accessory,anatomical,ak-SES-oh-ree,WASH,0.0,accessory,accessory,The biopsy shows inflammation in the accessory.
abducens,anatomical,ab-DOO-senz,WASH,0.0,abducens,abducens,The biopsy shows inflammation in the abducens.
angina,clinical,angina,WASH,0.0,angina,angina,The patient was diagnosed with angina.
epinephrine,drug,epinephrine,WASH,0.0,epinephrine,epinephrine,Please take your epinephrine as prescribed.
naloxone,drug,naloxone,WASH,0.0,naloxone,naloxone,Please take your naloxone as prescribed.
hyperlipidemia,clinical,hyperlipidemia,WASH,0.0,hyperlipidemia,hyperlipidemia,The patient was diagnosed with hyperlipidemia.
osteoarthritis,clinical,osteoarthritis,WASH,0.0,osteoarthritis,osteoarthritis,The patient was diagnosed with osteoarthritis.
diabetes mellitus,clinical,diabetes mellitus,WASH,0.0,diabetes mellitus,diabetes mellitus,The patient was diagnosed with diabetes mellitus.
tranylcypromine,drug,tran-il-SIP-roh-meen,WASH,-0.006,tranyl sepramin,tran ill sepromine,Please take your tranylcypromine as prescribed.
methylprednisolone,drug,METH-ul-pred-NIS-oh-lone,WASH,-0.006,metho pred alone,mef all pred nis alone,Please take your methylprednisolone as prescribed.
salmeterol,drug,sal-MEH-ter-ol,WASH,-0.017,saunter all is,saumai teres all is,Please take your salmeterol as prescribed.
lisdexamfetamine,drug,lis-dex-am-FET-a-meen,WASH,-0.02,lisdex andhetamine is,lis dex am fett a mean,Please take your lisdexamfetamine as prescribed.
gastroesophageal reflux,clinical,GAS-troh-ee-sof-ah-JEE-al REE-fluks,WASH,-0.021,gastroesophageal reflux,gastro esophageal reflux,The patient was diagnosed with gastroesophageal reflux.
phenytoin,drug,FEN-ih-toh-in,WASH,-0.024,finny twain,fin i toe in,Please take your phenytoin as prescribed.
papilla,anatomical,pah-PIL-ah,WASH,-0.024,papella,papil,The biopsy shows inflammation in the papilla.
dysphagia,clinical,dis-FAY-jah,WASH,-0.026,disstazhia,disfaja,The patient was diagnosed with dysphagia.
Kupffer,anatomical,KOOP-fer,WASH,-0.026,cover,coopra,The biopsy shows inflammation in the Kupffer.
rifampin,drug,ri-FAM-pin,WASH,-0.027,ryfan,ryfan pen,Please take your rifampin as prescribed.
hydroxychloroquine,drug,hy-DROX-ee-KLOR-oh-kween,WASH,-0.027,hydroxychloroquine,hydroxyechloroquine,Please take your hydroxychloroquine as prescribed.
vardenafil,drug,var-DEN-ah-fil,WASH,-0.027,tick varden fl,stick varden fl,Please take your vardenafil as prescribed.
vestibulocochlear,anatomical,ves-TIB-yoo-loh-KOK-lee-ar,WASH,-0.029,vestibulocochlear,vestibulo cochlear,The biopsy shows inflammation in the vestibulocochlear.
vortioxetine,drug,vor-tee-OK-seh-teen,WASH,-0.031,vordioxyteine,vorte oxoteine,Please take your vortioxetine as prescribed.
petechiae,clinical,pe-TEE-kee-eye,WASH,-0.033,ptki,ptkii,The patient was diagnosed with petechiae.
rhizotomy,clinical,ry-ZOT-oh-mee,WASH,-0.033,rosonomy,ryzono me,The patient was diagnosed with rhizotomy.
hydrocortisone,drug,HIGH-dro-KOR-tih-zone,WASH,-0.034,hydrocortisone,hydro cortisone,Please take your hydrocortisone as prescribed.
pyelonephritis,clinical,pye-eh-loh-neh-FRY-tis,WASH,-0.034,pyelonephritis,pyaelonephritis,The patient was diagnosed with pyelonephritis.
pancreatectomy,clinical,pan-kree-ah-TEK-toh-mee,WASH,-0.034,pancreatectomy,pancrea tectomy,The patient was diagnosed with pancreatectomy.
nitrofurantoin,drug,ny-tro-fyoor-an-TOYN,WASH,-0.035,nitro fer and toin,nitro fuhyoor and toin,Please take your nitrofurantoin as prescribed.
azelastine,drug,ah-ZEL-ah-steen,WASH,-0.037,a lasting,ozalostine,Please take your azelastine as prescribed.
anastrozole,drug,an-AS-troh-zole,WASH,-0.038,and astrozolus,astrozolus,Please take your anastrozole as prescribed.
carvedilol,drug,kar-VE-di-lol,WASH,-0.039,carved alol,car v dialol,Please take your carvedilol as prescribed.
celecoxib,drug,sel-eh-KOK-sib,WASH,-0.039,silcoxib,cell a coxiv,Please take your celecoxib as prescribed.
